timestamp,open,high,low,close
07-11-2014,0.631,0.6312,0.6292,0.6299
10-11-2014,0.6294,0.6312,0.628,0.6308
11-11-2014,0.6297,0.6298,0.627,0.628
12-11-2014,0.628,0.6342,0.6271,0.634
13-11-2014,0.6339,0.6368,0.6335,0.6364
14-11-2014,0.6365,0.641,0.6364,0.638
17-11-2014,0.6381,0.6399,0.6353,0.6393
18-11-2014,0.6393,0.64,0.6376,0.6399
19-11-2014,0.6399,0.641,0.636,0.6373
20-11-2014,0.6375,0.6394,0.6352,0.637
21-11-2014,0.637,0.6396,0.6361,0.6384
24-11-2014,0.6368,0.6371,0.6361,0.6366
25-11-2014,0.6365,0.6387,0.6353,0.6364
26-11-2014,0.6364,0.6375,0.6324,0.6328
27-11-2014,0.6329,0.636,0.6317,0.6358
28-11-2014,0.6358,0.6402,0.6355,0.6388
01-12-2014,0.6394,0.6413,0.6342,0.6353
02-12-2014,0.6353,0.6395,0.635,0.6392
03-12-2014,0.6393,0.6399,0.636,0.6373
04-12-2014,0.6374,0.6388,0.6357,0.6378
05-12-2014,0.6379,0.642,0.637,0.6415
08-12-2014,0.6422,0.6432,0.6376,0.6386
09-12-2014,0.6385,0.6396,0.636,0.6378
10-12-2014,0.6378,0.6388,0.636,0.636
11-12-2014,0.636,0.6386,0.6344,0.6355
12-12-2014,0.6355,0.6368,0.635,0.636
15-12-2014,0.6355,0.6406,0.6348,0.639
16-12-2014,0.6389,0.6399,0.6337,0.6348
17-12-2014,0.6348,0.6429,0.6347,0.6421
18-12-2014,0.642,0.6428,0.6377,0.638
19-12-2014,0.638,0.6405,0.6374,0.6396
22-12-2014,0.6397,0.6419,0.6381,0.6414
23-12-2014,0.6415,0.6454,0.6404,0.6441
24-12-2014,0.6442,0.6447,0.6421,0.6427
25-12-2014,0.6427,0.6432,0.64,0.6421
26-12-2014,0.6421,0.6433,0.6421,0.6423
30-12-2014,0.6442,0.6449,0.6419,0.6424
31-12-2014,0.6424,0.6429,0.64,0.6418
01-01-2015,0.6418,0.6422,0.6413,0.6415
