year,value
2024,2.1
2023,2.88755600906016
2022,2.51237531983308
2021,6.05505293304576
2020,-2.163029139
2019,2.58382533018855
2018,2.96650506916633
2017,2.45762230322211
2016,1.81945147474293
2015,2.94555045455233
2014,2.52381981441982
2013,2.11783009919849
2012,2.28911338767897
2011,1.56440685438301
2010,2.6951925838264
2009,-2.576500234
2008,0.113587248258867
2007,2.00385829825838
2006,2.78453963938148
2005,3.483549938
2004,3.84777169205226
