timestamp,open,high,low,close
18-01-2015,117.528,117.664,116.935,117.56
19-01-2015,117.74,118.754,117.701,117.712
20-01-2015,118.628,118.747,117.194,118.649
21-01-2015,117.84,118.33,117.277,117.86
22-01-2015,118.71,118.71,117.55,118.751
25-01-2015,117.38,118.479,117.38,117.361
26-01-2015,118.508,118.651,117.34,118.52
27-01-2015,117.818,118.243,117.566,117.775
28-01-2015,117.628,118.155,117.568,117.592
29-01-2015,118.248,118.273,117.404,118.248
01-02-2015,117.185,117.859,117.168,117.184
02-02-2015,117.602,117.72,116.896,117.575
03-02-2015,117.676,117.983,117.26,117.646
04-02-2015,117.314,117.542,117.033,117.288
05-02-2015,117.52,119.132,117.18,117.535
08-02-2015,118.957,119.033,118.446,118.97
09-02-2015,118.614,119.588,118.398,118.563
10-02-2015,119.348,120.402,119.286,119.358
11-02-2015,120.193,120.369,118.895,120.17
12-02-2015,118.881,119.184,118.438,118.916
15-02-2015,118.625,118.764,118.383,118.57
16-02-2015,118.506,119.103,118.244,118.492
17-02-2015,119.183,119.393,118.915,119.208
18-02-2015,118.724,119.155,118.482,118.689
19-02-2015,119.003,119.075,118.307,118.988
22-02-2015,119.074,119.34,118.817,119.076
23-02-2015,118.9,119.833,118.87,118.903
24-02-2015,118.845,119.04,118.62,118.892
25-02-2015,118.828,119.382,118.676,118.822
26-02-2015,119.404,119.541,119.127,119.377
01-03-2015,119.845,120.133,119.671,119.826
02-03-2015,120.198,120.198,119.416,120.204
03-03-2015,119.605,119.81,119.478,119.637
04-03-2015,119.638,120.377,119.62,119.651
05-03-2015,120.066,121.267,119.898,120.045
08-03-2015,120.71,121.249,120.606,120.739
09-03-2015,121.427,121.996,120.96,121.408
10-03-2015,121.06,121.61,121.026,121.038
11-03-2015,121.445,121.653,120.723,121.411
12-03-2015,121.302,121.555,121.167,121.318
15-03-2015,121.33,121.41,121.08,121.343
16-03-2015,121.373,121.507,121.145,121.367
17-03-2015,121.289,121.398,120.78,121.28
18-03-2015,120.079,120.972,119.698,120.064
19-03-2015,120.74,121.179,120.258,120.762
22-03-2015,120.013,120.149,119.599,120.027
23-03-2015,119.741,119.981,119.25,119.75
24-03-2015,119.77,119.812,119.248,119.791
25-03-2015,119.506,119.508,118.33,119.518
26-03-2015,119.214,119.482,118.938,119.183
29-03-2015,119.24,120.132,119.122,119.25
30-03-2015,120.029,120.33,119.797,120.013
31-03-2015,119.952,120.3,119.417,120.022
01-04-2015,119.576,119.858,119.448,119.574
02-04-2015,119.696,119.753,118.723,119.697
05-04-2015,118.854,119.163,118.832,118.823
06-04-2015,119.488,120.443,119.449,119.477
07-04-2015,120.28,120.306,119.66,120.29
08-04-2015,120.09,120.396,119.855,120.094
09-04-2015,120.55,120.616,120.066,120.55
12-04-2015,120.191,120.833,119.832,120.209
13-04-2015,120.058,120.061,119.068,120.059
14-04-2015,119.46,119.732,119.145,119.457
15-04-2015,119.141,119.459,118.79,119.143
16-04-2015,119.054,119.235,118.56,119.044
19-04-2015,118.834,119.351,118.547,118.818
20-04-2015,119.227,119.824,119.227,119.195
21-04-2015,119.641,119.938,119.35,119.633
22-04-2015,119.964,120.078,119.601,119.95
23-04-2015,119.58,119.62,118.892,119.571
26-04-2015,118.915,119.431,118.775,118.927
27-04-2015,119.132,119.183,118.78,119.126
28-04-2015,118.83,119.355,118.77,118.823
29-04-2015,118.976,119.875,118.507,118.97
30-04-2015,119.492,120.269,119.492,119.452
03-05-2015,120.132,120.271,119.998,120.136
04-05-2015,120.107,120.496,119.736,120.1
05-05-2015,119.93,120.039,119.238,119.922
06-05-2015,119.388,119.783,119.059,119.397
07-05-2015,119.716,120.219,119.626,119.709
10-05-2015,119.827,120.077,119.712,119.78
11-05-2015,120.118,120.27,119.795,120.131
12-05-2015,119.875,119.952,119.02,119.835
13-05-2015,119.196,119.326,118.89,119.16
14-05-2015,119.206,119.921,119.17,119.191
17-05-2015,119.353,119.883,119.344,119.33
18-05-2015,119.923,120.711,119.85,119.9
19-05-2015,120.662,121.376,120.662,120.652
20-05-2015,121.198,121.245,120.851,121.212
21-05-2015,121.046,121.558,120.644,121.039
24-05-2015,121.56,121.763,121.44,121.571
25-05-2015,121.644,123.311,121.644,121.6
26-05-2015,122.99,123.845,122.792,122.986
27-05-2015,123.708,124.445,123.505,123.74
28-05-2015,123.803,124.162,123.608,123.82
31-05-2015,124.245,124.664,123.888,124.193
01-06-2015,124.864,125.009,123.775,124.847
02-06-2015,124.06,124.666,123.79,124.036
03-06-2015,124.319,124.662,123.802,124.304
04-06-2015,124.359,125.822,124.359,124.38
07-06-2015,125.602,125.602,124.97,125.629
08-06-2015,124.598,124.723,123.9,124.563
09-06-2015,124.383,124.618,122.522,124.339
10-06-2015,122.92,124.07,122.871,122.866
11-06-2015,123.598,123.811,123.172,123.581
14-06-2015,123.345,123.647,123.302,123.29
15-06-2015,123.436,123.731,123.308,123.42
16-06-2015,123.444,124.29,123.35,123.439
17-06-2015,123.555,123.563,122.52,123.53
18-06-2015,123.031,123.208,122.569,123.002
21-06-2015,122.79,123.353,122.57,122.751
22-06-2015,123.414,124.167,123.368,123.379
23-06-2015,123.872,124.357,123.7,123.86
24-06-2015,123.86,123.949,123.338,123.851
25-06-2015,123.601,123.976,123.228,123.598
28-06-2015,122.466,123.179,122.348,122.612
29-06-2015,122.711,122.711,122.004,122.67
30-06-2015,122.408,123.214,122.38,122.386
01-07-2015,123.318,123.662,122.954,123.32
