year,open,high,low,close
2015,0.9039428160919539,0.9083775,0.8995967528735632,0.9039449137931035
2016,0.9035958469945354,0.9071397540983607,0.9003833606557377,0.9035820491803278
2017,0.8867862191780821,0.8891746849315069,0.8839537808219178,0.8867759726027397
2018,0.847507808219178,0.8502505205479451,0.844889095890411,0.847497698630137
2019,0.8933219452054794,0.8953394520547945,0.891405095890411,0.8933032876712329
2020,0.87720456284153,0.8799884426229507,0.8742281147540983,0.8771543715846994
2021,0.8456798082191781,0.8479424931506849,0.8437866301369863,0.8456445753424658
2022,0.9510128493150685,0.9553125479452055,0.9470323561643835,0.9510079178082191
2023,0.9245861643835617,0.9276826849315069,0.9217227397260275,0.9245860821917808
2024,0.924247698630137,0.9268569041095891,0.9220077260273973,0.9242475342465754
