year,value,value_zscore
2024,3.2,0.3406067670642898
2023,4.11633838374488,0.8608383996252863
2022,8.00279982052121,3.0672942395264737
2021,4.69785886363742,1.1909842867655733
2020,1.23358439630629,-0.7757838785204202
2019,1.81221007526021,-0.4472814530586485
2018,2.44258329692817,-0.089400460568913
2017,2.13011000365961,-0.26680052846137864
2016,1.26158320570536,-0.7598881498443881
2015,0.118627135552451,-1.4087771551168042
2014,1.62222297740817,-0.5551425880218763
2013,1.46483265562717,-0.6444975965011746
2012,2.06933726526067,-0.30130295842974425
2011,3.156841569,0.3161044855750619
2010,1.6400434423899,-0.5450253979587975
2009,-0.355546266,-1.6779790211332686
2008,3.839100297,0.7034423710032537
2007,2.85267248150138,0.14341895392974435
2006,3.22594410070404,0.35533597856957494
2005,3.3927468454955,0.45003469006944824
2004,2.67723669309172,0.04381901548670635
