year,value,value_zscore
2024,2.1,-0.023452610927828316
2023,2.88755600906016,0.40181220222661723
2022,2.51237531983308,0.1992219815085851
2021,6.05505293304576,2.1121984757736962
2020,-2.163029139,-2.3254048142158945
2019,2.58382533018855,0.23780358707586738
2018,2.96650506916633,0.44444314771941557
2017,2.45762230322211,0.16965642539468612
2016,1.81945147474293,-0.174943317368606
2015,2.94555045455233,0.43312806642230167
2014,2.52381981441982,0.20540178433668502
2013,2.11783009919849,-0.01382470673188457
2012,2.28911338767897,0.07866491284330712
2011,1.56440685438301,-0.3126624149002746
2010,2.6951925838264,0.2979397218586398
2009,-2.576500234,-2.5486711037713174
2008,0.113587248258867,-1.0960765741744496
2007,2.00385829825838,-0.07536724602316837
2006,2.78453963938148,0.3461853811506996
2005,3.483549938,0.7236372456724146
2004,3.84777169205226,0.9203098561305072
