year,value,value_zscore
2024,122.0,1.3944658853854546
2023,114.877162773867,1.0769513553986194
2022,112.889632760053,0.9883532816064028
2021,118.450755665757,1.2362513129028794
2020,124.550890800621,1.508176878335751
2019,100.032349144953,0.4152144839124056
2018,98.4494626296129,0.3446541928395223
2017,97.0213034788418,0.2809911794774064
2016,97.9285891936857,0.32143523121784273
2015,95.9558008657985,0.23349429717621412
2014,95.4538236808457,0.21111767324331948
2013,95.322114632447,0.2052464824144885
2012,93.6488624010011,0.13065796116234668
2011,89.5463716940778,-0.05221866050254169
2010,84.9639420529151,-0.2564895075708009
2009,75.8415954284505,-0.6631361160622842
2008,63.814672066672,-1.1992599663157004
2007,55.6594728230065,-1.5627940711385941
2006,55.4668811298083,-1.5713792260429966
2005,56.5383512496973,-1.5236163303441723
2004,56.6617331832934,-1.518116337095569
